time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,14,5,0,0
2026-05-26 00:00:00+00:00,7,2,6,1
2026-05-27 00:00:00+00:00,10,5,0,0
2026-05-28 00:00:00+00:00,5,3,6,2
2026-05-29 00:00:00+00:00,13,4,9,2
2026-05-30 00:00:00+00:00,13,5,0,0
2026-05-31 00:00:00+00:00,23,11,0,0
2026-06-01 00:00:00+00:00,17,5,7,1
2026-06-02 00:00:00+00:00,19,7,12,1
2026-06-03 00:00:00+00:00,19,7,0,0
2026-06-04 00:00:00+00:00,2,2,0,0
2026-06-05 00:00:00+00:00,5,4,1,1
2026-06-06 00:00:00+00:00,15,7,0,0
2026-06-07 00:00:00+00:00,25,9,9,1
